head_node_label,head_node_attritute,r_type,r_attritube,tail_node_label,tail_node_attribute
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市九堡中心阳光幼儿园',address:'老杭海路77', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'小天天幼儿园',address:'三村佳苑六排6', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市阳光幼儿园',address:'近江西路2', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'采荷幼儿园观音塘园区',address:'观音塘路95号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州小世界幼儿园',address:'清江路62清泰南苑', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市丁兰第二幼儿园向日葵园区',address:'勤丰路500号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'格畈艺术幼儿园',address:'格畈家园北苑1排22', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市景和幼儿园三堡园区',address:'庆谐路65东南方向182米', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市胜利瑞丰幼儿园瑞丰园区',address:'浙江省杭州市上城区', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市行知幼儿园',address:'浙江省杭州市上城区', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市丁蕙第一幼儿园',address:'浙江省杭州市上城区', task_id:'school'"
